objectid;Codigo;Jardin;Barrio;DM;Zona;Mantenimie;Tipo;CREATED_USER;CREATED_DATE;LAST_EDITED_USER;LAST_EDITED_DATE;geo_shape;geo_point_2d
407;99111106;Manuel de Carboneras C/;Natzaret;11.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.33343522293855277, 39.44396229563039], ""type"": ""Point""}";39.44396229563039, -0.33343522293855277
408;99111109;Santa Pola C/;Natzaret;11.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3325443438680244, 39.44654200848963], ""type"": ""Point""}";39.44654200848963, -0.3325443438680244
410;99111101;Alta del Mar C/;Natzaret;11.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.33342963864931957, 39.44966989163908], ""type"": ""Point""}";39.44966989163908, -0.33342963864931957
411;99111901;Ador (II);Castellar-L'Oliveral;19.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3610494147188039, 39.43190849266008], ""type"": ""Point""}";39.43190849266008, -0.3610494147188039
414;99111908;Castillo de Enguera Pl;La Torre;19.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3928663111582184, 39.43591646012914], ""type"": ""Point""}";39.43591646012914, -0.3928663111582184
415;99111912;Iglesia de la Torre Pl;La Torre;19.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3908259233921493, 39.435618339087384], ""type"": ""Point""}";39.435618339087384, -0.3908259233921493
418;99111916;Ismael Blat C/ - Ovidi Montllor C/;La Torre;19.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.39053943435015515, 39.431922830431866], ""type"": ""Point""}";39.431922830431866, -0.39053943435015515
419;99111918;Maestro Francisco Sanchis Huerta C/;Castellar-L'Oliveral;19.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.36514668794456034, 39.42379635207073], ""type"": ""Point""}";39.42379635207073, -0.36514668794456034
422;99111941;Sociopolis;Faitanar;19.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3953105462789465, 39.43188571928695], ""type"": ""Point""}";39.43188571928695, -0.3953105462789465
425;99111941;Sociopolis;Faitanar;19.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.39405970996168366, 39.43538799372575], ""type"": ""Point""}";39.43538799372575, -0.39405970996168366
428;99111910;Puerto de la Albufera C/ (Embarcadero del Saler);El Saler;19.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.33398880448528523, 39.383076382788424], ""type"": ""Point""}";39.383076382788424, -0.33398880448528523
432;99111927;Rio Segura Pl;El Forn d'Alcedo;19.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3755841175922801, 39.431920451627654], ""type"": ""Point""}";39.431920451627654, -0.3755841175922801
437;99111032;Instituto Obrero de Valencia Av;Ciutat de les Arts i de les Ciencies;10.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.360145751908897, 39.455537400386895], ""type"": ""Point""}";39.455537400386895, -0.360145751908897
438;99101335;Actor Enrique Rambal Pl;La Carrasca;13.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.34106399368406237, 39.47269536126899], ""type"": ""Point""}";39.47269536126899, -0.34106399368406237
443;99121820;Parques de Beniferri;Beniferri;18.0;NORTE;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.40548788993669893, 39.49388599738737], ""type"": ""Point""}";39.49388599738737, -0.40548788993669893
444;99121820;Parques de Beniferri;Beniferri;18.0;NORTE;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.40700718572669925, 39.495821853482354], ""type"": ""Point""}";39.495821853482354, -0.40700718572669925
447;99121622;VIP;Ciutat Fallera;16.0;NORTE;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.40125174158233107, 39.49812832037864], ""type"": ""Point""}";39.49812832037864, -0.40125174158233107
464;99121130;Jardin del Rastro;Cabanyal-Canyamelar;11.0;NORTE;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.33394755850563107, 39.47524082514614], ""type"": ""Point""}";39.47524082514614, -0.33394755850563107
465;99121121;Paseo Maritimo;Cabanyal-Canyamelar;11.0;NORTE;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.32452078906225174, 39.469751618986955], ""type"": ""Point""}";39.469751618986955, -0.32452078906225174
466;99121121;Paseo Maritimo;Cabanyal-Canyamelar;11.0;NORTE;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.32451531063508915, 39.47013329612405], ""type"": ""Point""}";39.47013329612405, -0.32451531063508915
468;99121121;Paseo Maritimo;Cabanyal-Canyamelar;11.0;NORTE;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.32451695961604377, 39.476277644715275], ""type"": ""Point""}";39.476277644715275, -0.32451695961604377
469;99121121;Paseo Maritimo;Cabanyal-Canyamelar;11.0;NORTE;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.3245764737365992, 39.48067329291175], ""type"": ""Point""}";39.48067329291175, -0.3245764737365992
478;99120440;Parque de Cabecera;Sant Pau;4.0;NORTE;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.4099494477630814, 39.47592355684497], ""type"": ""Point""}";39.47592355684497, -0.4099494477630814
485;99122006;Jardin del Turia Tramo 6;Cauce del Turia;20.0;TURIA;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.3794848289408849, 39.482153265204744], ""type"": ""Point""}";39.482153265204744, -0.3794848289408849
489;99122012;Jardin del Turia Tramo 12;Cauce del Turia;20.0;TURIA;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.35964027618013744, 39.46253577088889], ""type"": ""Point""}";39.46253577088889, -0.35964027618013744
490;99122012;Jardin del Turia Tramo 12;Cauce del Turia;20.0;TURIA;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.3588234662409007, 39.46066610288398], ""type"": ""Point""}";39.46066610288398, -0.3588234662409007
94;99101127;Marti Grajales C/;Cabanyal-Canyamelar;11.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.33341094653734205, 39.46845661398144], ""type"": ""Point""}";39.46845661398144, -0.33341094653734205
102;99101141;Jesus de Medinaceli Pl;El Grau;11.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.33778834774135397, 39.45928171916552], ""type"": ""Point""}";39.45928171916552, -0.33778834774135397
